"","Species","Scientific","Common","Native_Exotic_Planted","Invasive","Growth_form","Life_history","Functional.group","GroupedFunctional"
"77","OARTR","The ARTR2 we planted","","Native","N","Shrub","Perennial","NS","NS"
"78","OELEL","The ELEL5 we planted","","Native","N","Grass","Perennial","PG","PG"
"79","OERNA","The ERNA10 we planted","","Native","N","Shrub","Perennial","NS","NS"
"80","OPSSP","The PSSP6 we planted","","Native","N","Grass","Perennial","PG","PG"
"81","PHAC2","Phlox aculeata A. Nelson","sagebrush phlox","Native","N","Forb","Perennial","NPF","PF"
"82","PHACE","Phacelia Juss.","phacelia","Native","N","Forb","Perennial","NPF","PF"
"83","PHHA","Phacelia hastata Douglas ex Lehm.","silverleaf phacelia","Native","N","Forb","Perennial","NPF","PF"
"84","PHHE2","Phacelia heterophylla Pursh","varileaf phacelia","Native","N","Forb","Perennial","NPF","PF"
"85","PHLI","Phacelia linearis (Pursh) Holz.","threadleaf phacelia","Native","N","Forb","Annual","NAF","AF"
"86","PHLO2","Phlox longifolia Nutt.","longleaf phlox","Native","N","Forb","Perennial","NPF","PF"
