Site,Plot,Year,Sprayed,Size,Long,Lat,coords.UTM1,coords.UTM2,elevation,slope,aspect,TPI,TRI,SWness,Heatload,cover.all,foliar.cover.all,richness.all,diversity.all,evenness.all,cover.inv,foliar.cover.inv,diversity.inv,evenness.inv,richness.inv,Season,sand,clay,silt,pre_totaldiversity,pre_invdiversity,pre_natdiversity,pre_totalrichness,pre_invrichness,pre_natrichness,pre_natcover_abs,pre_invcover_abs,pre_natcover_rel,pre_invcover_rel,pre_totplantcov
4,2,2021,Yes,2x2,-116.016,43.58398,579433.5,4826138,1194.507,13.59553,232.8088,0.176331,1.810699,0.990727,0.817636,0.784,1.393,4,1.28873835,0.92962821,0.431,1.04,0.69880713,0.50408279,3,Fall,86.06188885,3.778403624,10.15970752,1.288498083,0.967646334,0,4,3,1,0.352941176,0.705882353,0.333333333,0.666666667,0.784313725
4,3,2021,Yes,2x2,-116.016,43.58405,579427.2,4826146,1194.136,11.85963,224.5702,-0.10698,1.553848,0.999972,0.79049,0.803,1.098,6,1.08712568,0.60673639,0.764,1.019,1.10904406,0.80000618,4,Fall,85.11246045,4.62498931,10.26255024,1.086441585,0.849645083,0.562335145,6,4,2,0.078431373,0.803921569,0.088888889,0.911111111,0.803921569
4,4,2021,No,2x2,-116.016,43.58415,579432.4,4826157,1197.253,13.31039,226.0411,-0.05611,1.721268,0.999835,0.803504,0.823,1.392,4,1.21811821,0.87868655,0.823,1.392,0.82351094,0.74959196,4,Fall,NA,NA,NA,1.218689912,1.218689912,0,4,4,0,0,0.823529412,0,1,0.823529412
4,5,2021,Yes,2x2,-116.016,43.58424,579424.6,4826167,1196.969,15.12256,214.4344,-0.86607,2.169571,0.983045,0.835642,0.588,0.667,4,0.64594701,0.46595228,0.549,0.628,1.09884712,0.79265065,3,Fall,91.07576928,2.924494526,5.999736193,0.644482362,0.447062054,0,4,3,1,0.039215686,0.568627451,0.064516129,0.935483871,0.588235294
4,6,2021,Yes,2x2,-116.016,43.58434,579432.4,4826178,1201.683,17.04936,210.4254,0.074966,2.410172,0.967821,0.858901,0.648,0.862,3,0.84497902,0.76913305,0.648,0.862,0.96798492,0.88109784,3,Fall,85.80372689,4.356685066,9.839588041,0.845465229,0.845465229,0,3,3,0,0,0.647058824,0,1,0.647058824
4,7,2021,Yes,2x2,-116.016,43.58211,579429.4,4825930,1158.035,20.29022,150.9068,0.012024,2.875793,0.274073,0.802543,0.845,1.393,7,1.3336228,0.68534655,0.805,1.275,0.8488397,0.61230841,5,Fall,80.98220449,6.14172433,12.87607118,1.33236555,1.033802964,0.79631164,7,4,3,0.117647059,0.803921569,0.125,0.854166667,0.843137255
4,8,2021,No,2x2,-116.016,43.5822,579434.4,4825940,1161.242,19.33061,149.8763,0.098923,2.685745,0.256733,0.795126,0.862,1.157,3,0.76323344,0.69472502,0.862,1.137,1.21811821,0.87868655,2,Fall,NA,NA,NA,0.762044921,0.687786823,0,3,2,1,0.019607843,0.862745098,0.022222222,0.977777778,0.862745098
4,9,2021,Yes,2x2,-116.016,43.58224,579442.9,4825945,1162.246,18.73629,145.4491,-0.04228,2.572769,0.181362,0.775935,0.902,1.059,4,0.76510283,0.55190503,0.902,1.059,0.44949017,0.40914358,4,Fall,87.55064178,4.634432623,7.814925599,0.762600421,0.762600421,0,4,4,0,0,0.901960784,0,1,0.901960784
5,1,2021,Yes,2x2,-116.018,43.58026,579307.6,4825724,1106.824,11.49978,181.0391,0.079208,1.548264,0.719814,0.807701,0.98,1.843,5,1.34805346,0.83759271,0.745,1.51,0.98908381,0.90030289,3,Fall,75.22198732,8.964059197,15.81395349,1.348465999,0.989170899,0.362210557,5,3,2,0.039215686,0.901960784,0.031746032,0.73015873,0.980392157
5,10,2021,Yes,2x2,-116.017,43.57966,579365.4,4825658,1095.514,5.226271,185.3632,0.014053,0.712936,0.770103,0.740572,0.843,0.98,2,0.470774,0.67918332,0.843,0.98,0.96831964,0.69849497,2,Fall,86.60454281,3.698311008,9.697146185,0.471393487,0.471393487,0,2,2,0,0,0.843137255,0,1,0.843137255
